id,merchantName
5441,QDOS Breakdown
5442,FloridaTix
5609,Yoek
5447,Golf Gear Direct
5451,Pet Insurance
5454,Insurance4My Caravan
5463,Fat Face
5464,ESE Direct
5466,John Smedley Outlet
5468,Ferrari Store (CA)
5469,Maserati Store (US)
5473,Damart
5474,Overnight Prints (US)
5478,The Book Depository
5480,Festicket
5481,LBC Modern (US)
5485,Easycar
5486,Easyvan
5487,The Book Depository (US)
5796,Holiday Cottages
5786,PUBLIC Bikes (US)
5491,Corncott
5492,Vivomed Limited
5500,Toner Giant
5501,Train Genius
5503,Gamucci Electronic Cigarettes
5504,Craft Company
5506,Best4ECigs
5509,From Babies With Love
5511,hoppa.ie
5766,5pointz
5513,The Hut (US &amp; CA)
5795,The Guardian Soulmates
5520,1&amp;1 Internet (Mexico)
5522,Lycafly
5532,Toby Tiger
5539,Elitesingles.co.uk
5540,Elitesingles.ie
5550,Santa&#39;s Lapland
5551,Destination Killarney
5552,Gleneagle Hotel
5553,Scotts Hotel Killarney
5554,The Brehon
5556,The Maritime
5561,Insure 4 a Day
5565,Transform Your Images
5566,John Greed Jewellery
5567,Virgin Atlantic (US &amp; CA)
5568,Crew Clothing
5571,EE Mobile
5573,The People&#39;s Operator Free PAYG Sim (CPL)
5577,Pretty Little Thing
5579,etyres
5580,House Simple
5589,apartments4you
5592,British Gas Landlord
5597,Armani
5603,Farmaline
5648,Confused.com Home Insurance
5606,JTX Fitness
5611,The Towel Shop
5618,OKA Direct
5622,Cohen &amp; Massias
5623,Chain Reaction Cycles (US &amp; CA)
5626,Deramores
5630,Lily Charmed
5632,PULP
5633,Ted Baker Ireland
5637,Brussels Airlines (US)
5638,Citybase Apartments
5640,RingCentral
5642,Tassimo
5643,GANT
5649,Fields.ie
5650,Fraser Hart
5653,Diamond Style
5655,Crafters Companion Limited
5657,AA Ireland Travel Insurance
5658,Ray-Ban
5659,Avira
5663,Malwarebytes
5664,Rare London
5665,Magazine Boutique
5667,Voyages Sncf UK
5670,GoNutrition
5675,The People&#39;s Operator
5678,ASOS
5679,Myprotein (US)
5680,Kwik Fit
5682,Fortnum &amp; Mason
5684,The Times
5686,YouGarden.com
5687,Menlook
5688,Bellfield
5699,Next (US)
5703,Swoon Editions
5709,Daisy Baby Shop
5715,Fragrance Expert Limited
5719,giffgaff Handsets
5723,Lights 4 Living
5724,ThBaker
5725,Onlineprinters
5726,Beauty Works Online
5727,Alpha Travel Insurance
5728,AA Term Life Insurance
5734,Smallable
5735,Vitamin Planet
5868,Selections
5737,Hyperoptic B2C
5742,TAP (US &amp; CA)
5745,Carfinance247
5754,SHOEPASSION.com
5755,Higher Nature
5756,888 Sport
5757,The Maths Factor
5758,Trustedhousesitters
5759,Trusted Housesitters (US)
5767,Edinburgh Airport
5769,Conrad Electronic
5771,Caledonian Travel
5772,Modern
5776,trivago UK
5777,trivago Ireland
5778,365games.co.uk
5781,Waitrose Cellar
5783,Glotech
5784,The Shaftesbury
5785,Park Grand London Hotels
5787,Suit Direct
5788,AA Ireland Membership Insurance
5789,AA Ireland Motor Insurance
5790,AA Ireland Home Insurance
5791,The Montcalm
5792,Music Magpie
5762,easyCar Club
5797,My InterRail
5799,Madam Rage
5803,Millet Sports
5804,Paperchase (US)
5805,Anantara Resorts (US &amp; CA)
5806,Berjaya Hotels (US &amp; CA)
5807,Chatrium Hotels (US &amp; CA)
5808,Compass Hospitality (US &amp; CA)
5809,Dusit International (US &amp; CA)
5810,Lebua Hotels (US &amp; CA)
5812,Onyx Hospitality (US &amp; CA)
5815,Rituals
5817,SCI-MX
5821,Viagogo (US)
5832,Moss Bros Ireland
5833,Travelzoo
5834,Preloved UK
5836,Blossoming Flowers and Gifts
5837,Appleyard Flowers
5842,Organic Surge
5843,CitizenM Hotels
5844,The Book Of Everyone
5845,Lamp Shop Online Ltd
5853,Pixartprinting
5854,energybulbs.co.uk
5855,Denby Retail Ltd
5856,Beaverbrooks
5857,Pure Leisure Group
5861,Europcar (US)
5865,TalkTalk Business Broadband
5870,Tria Beauty
5872,Booking.com (CA)
5876,Shutterstock.com
5877,World Remit LTD
5880,Teletext Holidays
5882,Cloggs (JD Sports)
5890,Ripleys London
5895,British Newspaper Archive
5896,AlexandAlexa (US &amp; CA)
5901,Perfume Shopping
5903,Pia Jewellery
5904,Museum Selection
5905,Culture Vulture
5907,Park Inn (US)
5908,Radisson Blu (US)
5913,Which?
5914,The Idle Man
5915,Safestore
5916,Booking.com IE
5917,Booking.com UK
5919,Fred Olsen Cruise Lines
5920,bloom.uk.com
5921,Artigiano
5922,Solutions World
5923,Ribble Cycles
5926,English Heritage - Shop
5927,findmypast (US)
5928,English Heritage - Membership
5931,ATG Tickets
5932,Moss Bros Hire
5935,American Express Travel Insurance
6033,Racing Green
5999,Kathmandu
6112,Asda Money
5970,Ultimate Outdoors
5987,The house shop
5943,Ikrush
5947,findmypast (IE)
5948,findmypast (AU)
5949,Fastlane International
5950,ParcelHero
5952,Collect+
5955,CyclePlan
5957,Plum Pretty Sugar (US)
5959,Simply Supplements
5960,Big Bus Tours
5962,Electricshop
5963,HMV (IE)
5966,hmv l Xtra-vision UK
5968,Ctrip.com (Global)
5971,Asda Opticians
5974,Elias and Grace
5975,House Of Watches
5976,StarGifts.com (US &amp; CA)
5977,ETO Jeans
5980,The East India Company Fine Foods Ltd
5981,Lottoland
5986,TripAdvisor
5991,Oxfam Donations
5994,icelolly.com
5998,Furniture Today
6001,Travel Luggage &amp; Cabin Bags Ltd
6003,AlexandAlexa UK
6004,Deep Blue Dive
6005,Interrail.eu Affiliate Programme
6007,Healthspan
6009,Topshop
6012,Trusted Car Buyers
6013,Light in the Box Ltd
6014,Mini in the Box
6015,Get Going Travel Insurance
6016,W Concept (US)
6018,Applegate Marketplace
6019,Fresh Start
6021,Lycamobile UK
6022,Lycamobile IE
6029,Go Skippy Car Insurance
6031,Navigation.com - HERE (US &amp; CA)
6032,Tech21
6034,1 Like no Other
